'a>at~axi*u,Ax*
'a>asojudu,sjd
'a>asolamotumo,slm
'a>a$ofaqotumo,$fq
'a>a$okuru,$kr
'a>aqorarotumo,qrr
'a>alidu,wld
'a>amintum,Amn
'a>anta,
'a>antumo,
'a>an*arotahumo,n*r
'aAtato,Aty
'aAtawA@,Aty
'aAtawohu,Aty
'aAtaY`ka,Aty
'aAtaY`kum,Aty
'aAtaY`kumu,Aty
'aAtaY`kumo,Aty
'aAtaY`naA,Aty
'aAtaY`niYa,Aty
'aAtaY`ni.a,Aty
'aAtaY`haA,Aty
'aAtaY`hu,Aty
'aAtaY`hum,Aty
'aAtaY`humaA,Aty
'aAtaY`humu,Aty
'aAtaY`humo,Aty
'aAtayota,Aty
'aAtayotanaA,Aty
'aAtayotaniY,Aty
'aAtayotahun~a,Aty
'aAtayotuka,Aty
'aAtayotukum,Aty
'aAtayotum,Aty
'aAtayotumuwhun~a,Aty
'aAtayonaA,Aty
'aAtayonaA^,Aty
'aAtayona`ka,Aty
'aAtayona`kum,Aty
'aAtayona`haA^,Aty
'aAtayona`hu,Aty
'aAtayona`hum,Aty
'aAtayona`humu,Aty
'aAtayona`humo,Aty
'aAtuwniY,Aty
'aAtuwniY^,Aty
'aAtinaA,Aty
'aAtihimo,Aty
'aAtiY,Aty
'aAtiyka,Aty
'aAtiykum,Aty
'aAtiyhimo,Aty
'aAtiyap,Aty
'aAvaraka,Avr
'aAvim,Avm
'aAvimiyn,Avm
'aAxar,Axr
'aAxi*,Ax*
'aAxi*iyn,Ax*
'aAxir,Axr
'aAxirap,Axr
'aAdam,
'aA*aAn,A*n
'aA*antukumo,A*n
'aA*ana,A*n
'aA*an~a`ka,A*n
'aA*awoA@,A*y
'aA*ayotumuwnaA,A*y
'aAzar,
'aAzifap,Azf
'aAsafuwnaA,Asf
'aAsaY`,Asw
'aAsin,Asn
'aASaAl,ASl
'aAfiliyn,Afl
'aAkiluwn,Akl
'aAl,Awl
'aAlaA^',Aly
'aAmantu,Amn
'aAmantum,Amn
'aAmantumo,Amn
'aAmana,Amn
'aAmanato,Amn
'aAmanukumo,Amn
'aAmanuwA@,Amn
'aAmanuw^A@,Amn
'aAman~aA,Amn
"'aAmuruhu,",Amr
'aAmiruwn,Amr
'aAmin,Amn
'aAminap,Amn
'aAminuwA@,Amn
'aAminiyn,Amn
'aAmino,Amn
'aAn,Any
'aAnaA^',Any
'aAnasa,Ans
'aAnasotu,Ans
'aAnasotum,Ans
'aAnif,Anf
'aAniyap,Any
'aAwawA@,Awy
'aAwaY`^,Awy
'aAwiY^,Awy
'aAyap,Ayy
'aAya`t,Ayy
'aA^m~iyn,Amm
>a'uloqiYa,lqy
>a'unzila,nzl
>a&unab~i}ukum,nbA
>abaA,Abw
>abaAbiyl,
>abaAriyq,Abryq
>abaA^,Abw
>abad,Abd
>aba$~arotumuwniY,b$r
>abaEava,bEv
>abaqa,Abq
>abaway,Abw
>abaY`,Aby
>abaY`^,Aby
>ab~,Abb
>abotar,btr
>abotagiY,bgy
>aboraHa,brH
>aboraHu,brH
>aboraS,brS
>aboramuw^A@,brm
>aboSara,bSr
>aboSaronaA,bSr
>aboSiro,bSr
>abogiY,bgy
>abogiykumo,bgy
>aboqaY`,bqy
>aboqaY`^,bqy
>abokam,bkm
>abolaguwA@,blg
>abolagotukum,blg
>abolagotukumo,blg
>aboluga,blg
>abolugu,blg
>aboligohu,blg
>ata>otuwna,Aty
">ata>oxu*uwnahu,",Ax*
>ata>omuruwna,Amr
>atabonuwna,bny
>atat~axi*u,Ax*
>atat~axi*unaA,Ax*
>atato,Aty
>atatoka,Aty
>atatokumu,Aty
>atatohumo,Aty
>atajoEalu,jEl
>ataxo$awonahumo,x$y
>atadoEuwna,dEw
>ata*aru,w*r
>atasotabodiluwna,bdl
>ataSobiruwna,Sbr
>ataEidaAniniY^,wEd
>ataEobuduwna,Ebd
>ataEojabiyna,Ejb
>ataEolamuwna,Elm
>ataquwluwna,qwl
>ataqotuluwna,qtl
>atam~ahaA,tmm
>atanohaY`naA^,nhy
>atahotadiY^,hdy
>atawA@,Aty
>atawaASawoA@,wSy
>atawak~a&uA@,wkA
>atawoA@,Aty
>atawoka,Aty
>atawohu,Aty
>ataY,Aty
>ataY`,Aty
>ataY`ka,Aty
>ataY`kumo,Aty
>ataY`naA,Aty
>ataY`haA,Aty
>ataY`haA^,Aty
>ataY`hum,Aty
>ataY`humo,Aty
>ataY`^,Aty
>atayaA^,Aty
>atayota,Aty
>atayona,Aty
>atayonaA,Aty
>atayona`hum,Aty
>atutorakuwna,trk
>atuja`diluwnaniY,jdl
>atuHaA^j~uwnanaA,Hjj
>atuHad~ivuwnahum,Hdv
>atuHa`^j~uw^n~iY,Hjj
>aturiydu,rwd
>aturiyduwna,rwd
>atuEal~imuwna,Elm
>atumid~uwnani,mdd
>atunab~i_#uwna,nbA
>atuholikunaA,hlk
>atuwbu,twb
>atim~uwA@,tmm
>at~abiEu,tbE
>at~abiEuka,tbE
>at~abiEohu,tbE
>at~axa*otumo,Ax*
>at~axa*ona`humo,Ax*
>at~axi*u,Ax*
>at~axi*o,Ax*
>atobaEa,tbE
>atoraAb,trb
>atoqana,tqn
>atoqaY,wqy
>atolu,tlw
>atoluwaA@,tlw
>atomamota,tmm
>atomimo,tmm
>avaAm,Avm
>avar,Avr
>ava`v,Avv
>ava`rap,Avr
>aviym,Avm
>avoxantumuwhumo,vxn
>avoqalat,vql
>avol,Avl
>avomara,vmr
>ajabotumu,jwb
>ajaziEonaA^,jzE
>ajaEala,jEl
>ajaEalotumo,jEl
>ajaEalonaA,jEl
>ajal,Ajl
>aji}otanaA,jyA
>ajida,wjd
>ajidu,wjd
>ajin~ap,jnn
>ajiybuwA@,jwb
>aj~alota,Ajl
>ajodaAv,jdv
>ajodar,jdr
>ajor,Ajr
>ajoramuwA@,jrm
>ajoramonaA,jrm
>ajoEalo,jEl
>ajol,Ajl
>ajomaEuw^A@,jmE
>ajomaEiyn,jmE
>aHaATa,HwT
>aHab~,Hbb
>aHad,AHd
>aHasiba,Hsb
>aHas~a,Hss
>aHas~uwA@,Hss
>aHaTtu,HwT
>aHaTonaA,HwT
>aHaq~,Hqq
>aHal~a,Hll
>aHal~anaA,Hll
>aHib~a`^&,Hbb
>aHobaAr,Hbr
>aHobabota,Hbb
>aHobabotu,Hbb
>aHoraS,HrS
>aHosan,Hsn
>aHosantumo,Hsn
>aHosana,Hsn
">aHosanahu,^",Hsn
>aHosanuwA@,Hsn
>aHoSanato,HSn
>aHoSaY`,HSy
>aHoSaY`haA,HSy
>aHoSaY`hu,HSy
>aHoSaY`humo,HSy
>aHoSayona`hu,HSy
>aHoDarato,HDr
>aHoqaAb,Hqb
>aHoqaAf,AHqAf
>aHokam,Hkm
>aHolalonaA,Hll
>aHomaAl,Hml
>aHomad,
>aHomilu,Hml
>aHomilukumo,Hml
>aHowaY`,Hwy
>aHoyaA,Hyy
>aHoyaAkumo,Hyy
>aHoyaAhaA,Hyy
>aHoyayona`haA,Hyy
>aHoya`humo,Hyy
>axaA,Axw
>axaAfu,xwf
>axa*a,Ax*
>axa*ati,Ax*
>axa*atohu,Ax*
>axa*atohumu,Ax*
>axa*otu,Ax*
>axa*otumo,Ax*
>axa*otuhaA,Ax*
>axa*otuhumo,Ax*
>axa*onaA,Ax*
>axa*onaA^,Ax*
>axa*ona`hum,Ax*
>axaraqotahaA,xrq
>axaway,Axw
>axawa`t,Axw
>axunohu,xwn
>ax~arotanaA^,Axr
>ax~arotani,Axr
>ax~arotaniY^,Axr
>ax~aronaA,Axr
>ax~ironaA^,Axr
>axobaAr,xbr
>axodaAn,xdn
>axo*,Ax*
>axo*ap,Ax*
>axoraja,xrj
>axorajatoka,xrj
>axorajaka,xrj
>axorajakum,xrj
>axorajaniY,xrj
>axorajahu,xrj
>axorajuwkumo,xrj
>axorajonaA,xrj
>axorijuwhum,xrj
>axorijuw^A@,xrj
>axorijo,xrj
>axorijonaA,xrj
>axozaY`,xzy
">axozayotahu,",xzy
>axosariyn,xsr
>axoDar,xDr
>axoTa>otum,xTA
>axoTa>onaA,xTA
>axofaY,xfy
>axofayotumo,xfy
>axolada,xld
">axoladahu,",xld
>axolaSona`hum,xlS
>axolafuwA@,xlf
>axolafonaA,xlf
>axoluqu,xlq
>adaA^',Ady
>adaEawotumuwhumo,dEw
>adul~uka,dll
>adul~ukumo,dll
>ad~uw^A@,Ady
>adobara,dbr
>adoxiluw^A@,dxl
>adoxiloniY,dxl
>adorakahu,drk
>adoraY`ka,dry
>adoraY`kum,dry
>adori,dry
>adoriY,dry
>adoriY^,dry
>adoEuwA@,dEw
>adoEuwkumo,dEw
>adoEuw^A@,dEw
>adonaY`,dnw
>adohaY`,dhy
>a*FY,A*y
>a*aAEuwA@,*yE
>a*aAqahum,*wq
>a*aqonaA,*wq
>a*aqona`hu,*wq
>a*al~,*ll
>a*aY`,A*y
>a*a`n,A*n
>a*il~ap,*ll
>a*inta,A*n
>a*ina,A*n
>a*~ana,A*n
>a*obaHuka,*bH
>a*oqaAn,*qn
">a*okurahu,",*kr
>a*okurokumo,*kr
>a*ohaba,*hb
>a*ohabotumo,*hb
>ara'ayota,rAy
>ara'ayotaka,rAy
>ara'ayotakumo,rAy
>ara'ayotum,rAy
>ara'ayotumo,rAy
>araAda,rwd
>araAdaA,rwd
>araAdaniY,rwd
>araAdaniYa,rwd
>araAduwA@,rwd
>araAduw^A@,rwd
>araA^}ik,Ark
>aradt~u,rwd
>aradt~umu,rwd
>aradt~umo,rwd
>aradona,rwd
>aradonaA^,rwd
>aradona`hu,rwd
>araDiytum,rDw
>araY,rAy
>araY`,rAy
>araY`ka,rAy
>araY`kahumo,rAy
>araY`kum,rAy
>araY`niY^,rAy
>arayona`ka,rAy
>arayona`hu,rAy
>aruwniY,rAy
>aruwniYa,rAy
>arinaA,rAy
>ariniY,rAy
>ariniY^,rAy
>arobaE,rbE
>arobaEap,rbE
>arobaY`,rbw
>arojaA^},rjw
>arojiEu,rjE
>arojiho,rjw
>aroHaAm,rHm
>aroHam,rHm
>arodaY`kumo,rdy
>aro*al,r*l
>arosala,rsl
>arosalato,rsl
>arosalota,rsl
>arosalonaA,rsl
>arosalonaA^,rsl
>arosalona`ka,rsl
>arosalona`hu,rsl
>arosaY`haA,rsw
>arosilo,rsl
>arosilohu,rsl
>aroD,ArD
>aroDaEato,rDE
>aroDaEona,rDE
>aroDaEonakumo,rDE
>aroDiEiyhi,rDE
>arokasahum,rks
>azaAga,zyg
>azifati,Azf
>aziyda,zyd
>az~,Azz
>azor,Azr
>azokaY`,zkw
>azola`m,zlm
>asa>otumo,swA
>asaAwir,swr
>asaA^'a,swA
>asar~a,srr
>asar~uwA@,srr
>asaf,Asf
>asa`Tiyr,sTr
>asa`^_#uwA@,swA
>asif,Asf
>asiyr,Asr
>as~asa,Ass
>asobaAT,sbT
>asotajibo,jwb
>asotaxoliSohu,xlS
>asotagofarota,gfr
>asotagofiru,gfr
>asotakobarota,kbr
>asoxaTa,sxT
>asor,Asr
>asoraE,srE
>asorafa,srf
>asorafuwA@,srf
>asoraY`,sry
>asori,sry
>aso_#alaka,sAl
>aso_#alukumo,sAl
>asofaAr,sfr
>asofara,sfr
>asofal,sfl
>asokantu,skn
>asokinuwhun~a,skn
>asolafato,slf
>asolafotumo,slf
>asolama,slm
>asolamaA,slm
>asolamuwA@,slm
>asolamotu,slm
>asolamonaA,slm
>asoliHat,slH
>asolimuwA@,slm
>asolimo,slm
>asomaEahumo,smE
>asomaEu,smE
>asomiEo,smE
>asowa>,swA
>asowad,swd
>a$aA^'u,$yA
>a$ad~,$dd
>a$aq~,$qq
>a$ahiduwA@,$hd
>a$ud~,$dd
>a$uq~a,$qq
>a$ir,A$r
>a$otaAt,$tt
>a$oraAT,$rT
>a$oraka,$rk
>a$orakuwA@,$rk
>a$orakuw^A@,$rk
>a$orakota,$rk
>a$orakotum,$rk
>a$orakotumuwni,$rk
>a$orakotumo,$rk
>a$orakonaA,$rk
>a$oqaY,$qw
>a$okura,$kr
>a$okuwA@,$kw
>a$ohadt~uhumo,$hd
>a$ohadu,$hd
>aSaAba,Swb
>aSaAbato,Swb
>aSaAbatohu,Swb
>aSaAbaka,Swb
>aSaAbahaA,Swb
>aSaAbahumu,Swb
>aSaAbahumo,Swb
">aSaAbahu,",Swb
>aSabotum,Swb
>aSabona`hum,Swb
>aSadaqota,Sdq
>aSam~,Smm
>aSa`batokum,Swb
>aSa`batohum,Swb
>aSa`bakum,Swb
>aSa`bakumo,Swb
>aSa`biE,SbE
>aSiyl,ASl
>aSobaHa,SbH
>aSobaHuwA@,SbH
>aSobarahumo,Sbr
>aSobu,Sbw
>aSoHa`b,SHb
>aSodaq,Sdq
>aSoTafaY,Sfw
>aSogar,Sgr
>aSofaAd,Sfd
>aSol,ASl
>aSonaAm,Snm
>aSowaAf,Swf
>aDaAEuwA@,DyE
>aDaA^'a,DwA
>aDaA^'ato,DwA
>aDal~,Dll
>aDal~a,Dll
>aDal~aAnaA,Dll
>aDal~anaA^,Dll
>aDal~aniY,Dll
>aDal~uwA@,Dll
>aDal~uwnaA,Dll
>aDil~u,Dll
>aDoHaka,DHk
">aDoTar~uhu,^",Drr
>aDoEaf,DEf
>aDoga`n,Dgn
>aDolalotumo,Dll
>aDolalona,Dll
>aTaAEa,TwE
>aTaAEuwnaA,TwE
>aTaEotum,TwE
>aTaEotumuwhumo,TwE
>aTaEonaA,TwE
>aTaEonakumo,TwE
>aTiyEuwA@,TwE
>aT~alaEa,TlE
>aT~aliEu,TlE
>aToEamahum,TEm
">aToEamahu,^",TEm
>aTogaY`,Tgy
">aTogayotuhu,",Tgw
>aTofa>ahaA,TfA
>aTomaEu,TmE
>aTohar,Thr
>aToharu,Thr
>aTowaAr,Twr
>aZun~u,Znn
>aZofarakumo,Zfr
>aZolam,Zlm
>aZolama,Zlm
>aEajazotu,Ejz
>aEajilotumo,Ejl
>aEad~a,Edd
>aEaz~,Ezz
>aEuw*u,Ew*
>aEiZuka,wEZ
>aEiZukum,wEZ
>aEiybahaA,Eyb
>aEobuda,Ebd
>aEobudu,Ebd
>aEotadonaA,Etd
>aEovaronaA,Evr
>aEojaAz,Ejz
>aEojaba,Ejb
>aEojabatokumo,Ejb
>aEojabaka,Ejb
>aEojabakumo,Ejb
>aEojalaka,Ejl
>aEojamiY~,Ejm
>aEojamiyn,Ejm
>aEoraAb,Erb
>aEoraAf,
>aEoraj,Erj
>aEoraDa,ErD
>aEoraDuwA@,ErD
>aEoraDotumo,ErD
>aEoriDo,ErD
>aEoSiru,ESr
>aEoSiY,ESy
>aEoTaY`,ETw
>aEoTayona`ka,ETw
>aEoZam,EZm
>aEolam,Elm
>aEolamu,Elm
>aEolantu,Eln
>aEolantumo,Eln
>aEolawon,Elw
>aEolaY`,Elw
>aEola`m,Elm
>aEomala,Eml
>aEomalu,Eml
>aEomaY`,Emy
>aEomaY`^,Emy
>aEohado,Ehd
>agoraqonaA,grq
>agoraqona`humo,grq
>agofalonaA,gfl
>agonato,gny
>agonaY`,gny
>agonaY`humu,gny
>agowayotaniY,gwy
>agowayonaA^,gwy
>agowayona`humo,gwy
>afa>aSofaY`kumo,Sfw
>afa>amintumo,Amn
>afa>amina,Amn
>afa>aminuwA@,Amn
>afa>aminuw^A@,Amn
>afa>anta,
>afa>antumo,
>afa>unab~i}ukum,nbA
>afaADa,fyD
>afaAqa,fwq
>afaA^'a,fyA
>afata>otuwna,Aty
">afatat~axi*uwnahu,",Ax*
>afataTomaEuwna,TmE
>afataEobuduwna,Ebd
>afatu&ominuwna,Amn
">afatuma`ruwnahu,",mry
>afatuholikunaA,hlk
>afaHasiba,Hsb
>afaHasibotumo,Hsb
>afara'ayota,rAy
>afara'ayotum,rAy
>afara'ayotumu,rAy
>afaDotum,fyD
>afaDotumo,fyD
>afaTaAla,Twl
>afaEaSayota,ESy
>afaEayiynaA,Eyy
>afala,Afl
>afalato,Afl
>afanajoEalu,jEl
>afanaDoribu,Drb
>afahumu,
>afahumo,
>afa{t~axa*otum,Ax*
>afiyDuwA@,fyD
>af~aAk,Afk
>afotaraY`,fry
>afotuwniY,fty
>afotinaA,fty
>aforigo,frg
>afosaduwhaA,fsd
>afoSaH,fSH
>afoDaY`,fDw
>afolaHa,flH
>afonaAn,fnn
>afowa`h,fwh
>aqaAmuwA@,qwm
>aqaAwiyl,qwl
>aqatalota,qtl
>aqal~,qll
>aqal~ato,qll
>aqamotumu,qwm
>aqul,qwl
>aqulo,qwl
>aquwla,qwl
>aquwlu,qwl
>aqimi,qwm
>aqimo,qwm
>aqiymuwA@,qwm
>aqobalonaA,qbl
>aqobilo,qbl
>aqotulo,qtl
>aqodamuwn,qdm
>aqorab,qrb
>aqorarotumo,qrr
>aqoraronaA,qrr
>aqosaT,qsT
>aqosamuwA@,qsm
>aqosamotum,qsm
>aqosamotumo,qsm
>aqoSaA,qSw
>aqoTaAr,qTr
>aqofaAl,qfl
>aqoliEiY,qlE
>aqonaY`,qny
>aqowam,qwm
>aqowa`t,qwt
>akaAdu,kwd
>akaAna,kwn
>aka*~abotum,k*b
>akafarota,kfr
>akafarotum,kfr
>akala,Akl
>akalahu,Akl
>aku,kwn
>akun,kwn
>akun[,kwn
>akuwna,kwn
>akin~ap,knn
>ak~a`luwn,Akl
>akobar,kbr
">akobaronahu,",kbr
>akovar,kvr
>akoram,krm
>akoramani,krm
>akorahotanaA,krh
>akorimiY,krm
">akofarahu,",kfr
>akofuru,kfr
>akofiloniyhaA,kfl
>akol,Akl
>akomaAm,kmm
>akomalotu,kml
>akomah,kmh
>akonantumo,knn
>akona`n,knn
>akowaAb,kwb
>alaA^,
>alatona`hum,lyt
>alad~,ldd
>alasotu,lys
>alakumu,
>alahumo,
>alayosa,lys
>aliym,Alm
>al~afa,Alf
>al~afota,Alf
>aloba`b,lbb
>aloHaqotum,lHq
>aloHaqonaA,lHq
>alozamona`hu,lzm
>alof,Alf
>alofaAf,lff
>alofawoA@,lfw
>alofayonaA,lfw
>aloqawoA@,lqy
>aloqaY,lqy
>aloqaY`,lqy
>aloqaY`haA^,lqy
>aloqaY`hu,lqy
>aloqaY`^,lqy
>aloqa`b,lqb
>aloquwA@,lqy
>aloqi,lqy
>aloqihaA,lqy
>aloqiyaA,lqy
>alohaY`kumu,lhw
>am,
>amaAta,mwt
">amaAtahu,",mwt
>amaAm,
>amap,Amw
>amat~anaA,mwt
>amad,Amd
>amad~akum,mdd
>amara,Amr
>amarakumu,Amr
>amaranaA,Amr
>amarahumo,Amr
">amarahu,",Amr
>amar~,Amr
>amarotaniY,Amr
>amarotahumo,Amr
>amarotuka,Amr
>amaronaA,Amr
>amal,Aml
>amanap,Amn
>ama`nat,Amn
>ama`na`t,Amn
>amuwtu,mwt
>amintukumo,Amn
>amintum,Amn
>amintumo,Amn
>amina,Amn
>amiyn,Amn
>am~aA,
>am~aArap,Amr
>amot,Amt
>amoval,mvl
>amor,Amr
>amos,Ams
>amosaka,msk
>amosakahumaA,msk
>amosakona,msk
>amosiko,msk
>amo$aAj,m$j
>amoDiYa,mDy
>amoEaA^',mEy
>amolayotu,mlw
>amoliku,mlk
>amon,Amn
>amohilohumo,mhl
>an,
>anta,
>antum,
>antumaA,
>antumu,
>antumo,
>anjaY`kum,njw
>anjaY`naA,njw
>anjaY`humo,njw
>anjayotanaA,njw
>anjayonaA,njw
>anjayona`kum,njw
>andaAd,ndd
>an*ara,n*r
>an*arahum,n*r
>an*arotukumo,n*r
>an*arona`kumo,n*r
>an*iruw^A@,n*r
>an*iri,n*r
>an*iro,n*r
>anzala,nzl
>anzalahu,nzl
">anzalahu,",nzl
">anzalahu,^",nzl
>anzalota,nzl
>anzalotu,nzl
>anzalotumuwhu,nzl
>anzalonaA,nzl
>anzalonaA^,nzl
>anzalona`haA,nzl
>anzalona`hu,nzl
>anzilo,nzl
>anziloniY,nzl
>ansawokumo,nsy
>ansaY`niyhu,nsy
>an$a>a,n$A
>an$a>akum,n$A
>an$a>akumo,n$A
>an$a>ahaA^,n$A
>an$a>otumo,n$A
>an$a>onaA,n$A
>an$a>ona`hu,n$A
>an$a>ona`hun~a,n$A
">an$arahu,",n$r
>anSaHa,nSH
>anSituwA@,nSt
>anTaqa,nTq
>anTaqanaA,nTq
>anZuro,nZr
>anZironiY^,nZr
>anf,Anf
>anfaAl,nfl
>anfaqa,nfq
>anfaquwA@,nfq
>anfaqota,nfq
>anfaqotum,nfq
>anfaqotumo,nfq
>anfiquwA@,nfq
>anqaDa,nqD
>ankaAl,nkl
>ankar,nkr
>anka`v,nkv
>anaA,
>anaAba,nwb
>anaAm,Anm
>anaAmil,nml
">anaA""",
>anabonaA,nwb
>anaHonu,
>anadoEuwA@,dEw
>anasojudu,sjd
>anu&ominu,Amn
>anuToEimu,TEm
>anulozimukumuwhaA,lzm
>an~,
>an~aY`,
>anoEama,nEm
>anoEamahaA,nEm
>anoEamota,nEm
>anoEamotu,nEm
>anoEamonaA,nEm
>anohakumaA,nhy
>anohaY`kumo,nhy
>an[ba>aka,nbA
>an[ba>ahum,nbA
>an[batato,nbt
>an[batakum,nbt
>an[batonaA,nbt
>an[bi}ohum,nbA
>an[bi_#uwniY,nbA
>aham~atohumo,hmm
>aha`nani,hwn
>ahumo,
>ahil~ap,hll
>ahodaY`,hdy
>ahodika,hdy
>ahodikumo,hdy
>ahodiykumo,hdy
>ahol,Ahl
>aholaka,hlk
>aholakaniYa,hlk
>aholakotahum,hlk
>aholakotu,hlk
>aholakonaA,hlk
>aholakonaA^,hlk
>aholakona`haA,hlk
>aholakona`haA^,hlk
>aholakona`hum,hlk
>aholakona`humo,hlk
>ahowaA^',hwy
>ahowan,hwn
>ahowaY`,hwy
>aw,
>awa>amina,Amn
>awaEajibotumo,Ejb
>awaEaZota,wEZ
>awalayosa,lys
>awaY,Awy
>awayonaA^,Awy
>aw~aAb,Awb
>aw~al,Awl
>aw~a`h,Awh
>aw~ibiY,Awb
>awobaAr,wbr
>awotaAd,wtd
>awova`n,wvn
>awojafotumo,wjf
>awoHaY`,wHy
>awoHaY`^,wHy
>awoHayotu,wHy
>awoHayonaA^,wHy
>awodiyap,wdy
>aworavonaA,wrv
>awoziEoniY^,wzE
>awosaT,wsT
>awofaY`,wfy
>awofuwA@,wfy
>awoqaduwA@,wqd
>awolaY`,wly
>awolaya`n,Awl
>awohan,whn
>aY~,Ayy
>aya>omurukum,Amr
>ayabotaguwna,bgy
>ayaHosabu,Hsb
>ayaHosabuwna,Hsb
>ayaTomaEu,TmE
>ayaEidukumo,wEd
>ayawad~u,wdd
>aya`maY`,Aym
>ayuHib~u,Hbb
>ayu$orikuwna,$rk
">ayumosikuhu,",msk
>ay~,Ayy
>ay~aAn,
>ay~at,Ayy
>ay~adt~uka,Ayd
>ay~adaka,Ayd
>ay~uwb,
>ay~in,Ayy
>ayod,ydy
>ayoqaAZ,yqZ
>ayokap,Aykh
>ayoman,ymn
>ayon,
>ayoyd,Ayd
">ubad~ilahu,",bdl
>ubar~i}u,brA
>ubal~igukumo,blg
>ubosiluwA@,bsl
>uboEavu,bEv
>utorifuwA@,trf
>utorifotumo,trf
>ujaAj,Ajj
>ujibotumo,jwb
>ujiybat,jwb
>ujiybu,jwb
>uj~ilato,Ajl
>uHib~u,Hbb
>uHil~a,Hll
>uHil~ato,Hll
>uHiyTa,HwT
>uHodiva,Hdv
>uHoSiruwA@,HSr
>uHoSirotumo,HSr
>uHoSin~a,HSn
>uHokimato,Hkm
>uHoYi.,Hyy
>uxaAlifakumo,xlf
>uxi*a,Ax*
>uxi*uwA@,Ax*
>uxot,Axw
>uxoduwd,xdd
>uxoraja,xrj
>uxoraju,xrj
>uxoraY`,Axr
>uxorijato,xrj
>uxorijuwA@,xrj
>uxorijotumo,xrj
>uxorijonaA,xrj
>uxofiYa,xfy
>uxofiyhaA,xfy
>u*un,A*n
>u*ina,A*n
>uriyda,rwd
>uriydu,rwd
>uriykumo,rAy
>urosila,rsl
">urosilahu,",rsl
>urosiluwA@,rsl
>urosilotu,rsl
>urosilotum,rsl
>urosilonaA^,rsl
>urokisuwA@,rks
>uzolifato,zlf
>us~isa,Ass
>usolima,slm
>usowap,Asw
>u$orika,$rk
>u$oriku,$rk
>u$oriko,$rk
>u$ohidu,$hd
>uSiybu,Swb
>uDiyEu,DyE
">uEa*~ibuhu,",E*b
">uEa*~ibuhu,^",E*b
>uEid~ato,Edd
>uEiyduwA@,Ewd
>uEiy*uhaA,Ew*
>uEoTuwA@,ETw
>ugoriquwA@,grq
>ugo$iyato,g$y
>ugoniY,gny
>ufuq,Afq
>ufika,Afk
>uf~,Aff
>uforigo,frg
>uq~itato,wqt
>uqosimu,qsm
>ukal~ima,klm
>ukul,Akl
>ukoriha,krh
>uloquwA@,lqy
